Key;Item Type;Publication Year;Author;Title;Publication Title;ISBN;ISSN;DOI;Url;Abstract Note;Date;Date Added;Date Modified;Access Date;Pages;Num Pages;Issue;Volume;Number Of Volumes;Journal Abbreviation;Short Title;Series;Series Number;Series Text;Series Title;Publisher;Place;Language;Rights;Type;Archive;Archive Location;Library Catalog;Call Number
3ZCAZGRB;preprint;2024;"Tesson, F.; Planel, R.; Egorov, A.; Georjon, H.; Vaysset, H.; Brancotte, B.; Néron, B.; Mordret, E.; Bernheim, A.; Atkinson, G.; Cury, J.";A Comprehensive Resource for Exploring Antiphage Defense: DefenseFinder Webservice, Wiki and Databases;;;;10.1101/2024.01.25.577194;https://www.biorxiv.org/content/10.1101/2024.01.25.577194v2;In recent years, a vast number of novel antiphage defense mechanisms were uncovered. To facilitate the exploration of mechanistic, ecological, and evolutionary aspects related to antiphage defense systems, we released DefenseFinder in 2021 (Tesson et al., 2022). DefenseFinder is a bioinformatic program designed for the systematic identification of all known antiphage defense mechanisms. The initial release of DefenseFinder v1.0.0 included 60 systems. Over the past three years, the number of antiphage systems incorporated into DefenseFinder has grown to 152. The increasing number of known systems makes it a challenge to enter the field and makes the interpretation of detections of antiphage systems difficult. Moreover, the rapid development of sequence-based predictions of structures offers novel possibilities of analysis and should be easily available. To overcome these challenges, we present a hub of resources on defense systems including 1) a search tool (DefenseFinder as a web service) 2) a knowledge base, and 3) precomputed databases (results of DefenseFinder ran on RefSeq database, predicted structure database computed with AlphaFold). These pages can be freely accessed for users as a starting point on their journey to better understand a given system. We anticipate that these resources will foster the use of bioinformatics in the study of antiphage systems and will serve the community of researchers who study antiphage systems. This resource is available at: https://defensefinder.mdmlab.fr.;12/04/2024;05/08/2024 15:18;05/08/2024 15:18;05/08/2024 15:18;;;;;;;A Comprehensive Resource for Exploring Antiphage Defense;;;;;bioRxiv;;en;© 2024, Posted by Cold Spring Harbor Laboratory. This pre-print is available under a Creative Commons License (Attribution-NonCommercial-NoDerivs 4.0 International), CC BY-NC-ND 4.0, as described at http://creativecommons.org/licenses/by-nc-nd/4.0/;;;;bioRxiv;
J6DZRWRX;journalArticle;2021;"Cheng, Rui; Huang, Fengtao; Wu, Hui; Lu, Xuelin; Yan, Yan; Yu, Bingbing; Wang, Xionglue; Zhu, Bin";A nucleotide-sensing endonuclease from the Gabija bacterial defense system;Nucleic Acids Research;;1362-4962;10.1093/nar/gkab277;;The arms race between bacteria and phages has led to the development of exquisite bacterial defense systems including a number of uncharacterized systems distinct from the well-known restriction-modification and CRISPR/Cas systems. Here, we report functional analyses of the GajA protein from the newly predicted Gabija system. The GajA protein is revealed as a sequence-specific DNA nicking endonuclease unique in that its activity is strictly regulated by nucleotide concentration. NTP and dNTP at physiological concentrations can fully inhibit the robust DNA cleavage activity of GajA. Interestingly, the nucleotide inhibition is mediated by an ATPase-like domain, which usually hydrolyzes ATP to stimulate the DNA cleavage when associated with other nucleases. These features suggest a mechanism of the Gabija defense in which an endonuclease activity is suppressed under normal conditions, while it is activated by the depletion of NTP and dNTP upon the replication and transcription of invading phages. This work highlights a concise strategy to utilize a DNA nicking endonuclease for phage resistance via nucleotide regulation.;21/05/2021;05/08/2024 15:18;05/08/2024 15:18;;5216-5229;;9;49;;Nucleic Acids Res;;;;;;;;eng;;;;;PubMed;
CB93C9VD;journalArticle;2022;"Gao, Linyi Alex; Wilkinson, Max E.; Strecker, Jonathan; Makarova, Kira S.; Macrae, Rhiannon K.; Koonin, Eugene V.; Zhang, Feng";Prokaryotic innate immunity through pattern recognition of conserved viral proteins;Science;;;10.1126/science.abm4096;https://www.science.org/doi/10.1126/science.abm4096;Many organisms have evolved specialized immune pattern-recognition receptors, including nucleotide-binding oligomerization domain–like receptors (NLRs) of the STAND superfamily that are ubiquitous in plants, animals, and fungi. Although the roles of NLRs in eukaryotic immunity are well established, it is unknown whether prokaryotes use similar defense mechanisms. Here, we show that antiviral STAND (Avs) homologs in bacteria and archaea detect hallmark viral proteins, triggering Avs tetramerization and the activation of diverse N-terminal effector domains, including DNA endonucleases, to abrogate infection. Cryo–electron microscopy reveals that Avs sensor domains recognize conserved folds, active-site residues, and enzyme ligands, allowing a single Avs receptor to detect a wide variety of viruses. These findings extend the paradigm of pattern recognition of pathogen-specific proteins across all three domains of life.;12/08/2022;05/08/2024 15:19;05/08/2024 15:19;05/08/2024 15:19;eabm4096;;6607;377;;;;;;;;;;;;;;;science.org (Atypon);
VNTNTNXS;journalArticle;2022;"Bari, S. M. Nayeemul; Chou-Zheng, Lucy; Howell, Olivia; Hossain, Motaher; Hill, Courtney M.; Boyle, Tori A.; Cater, Katie; Dandu, Vidya Sree; Thomas, Alexander; Aslan, Barbaros; Hatoum-Aslan, Asma";A unique mode of nucleic acid immunity performed by a multifunctional bacterial enzyme;Cell Host & Microbe;;1934-6069;10.1016/j.chom.2022.03.001;;The perpetual arms race between bacteria and their viruses (phages) has given rise to diverse immune systems, including restriction-modification and CRISPR-Cas, which sense and degrade phage-derived nucleic acids. These complex systems rely upon production and maintenance of multiple components to achieve antiphage defense. However, the prevalence and effectiveness of minimal, single-component systems that cleave DNA remain unknown. Here, we describe a unique mode of nucleic acid immunity mediated by a single enzyme with nuclease and helicase activities, herein referred to as Nhi (nuclease-helicase immunity). This enzyme provides robust protection against diverse staphylococcal phages and prevents phage DNA accumulation in cells stripped of all other known defenses. Our observations support a model in which Nhi targets and degrades phage-specific replication intermediates. Importantly, Nhi homologs are distributed in diverse bacteria and exhibit functional conservation, highlighting the versatility of such compact weapons as major players in antiphage defense.;13/04/2022;05/08/2024 15:19;05/08/2024 15:19;;570-582.e7;;4;30;;Cell Host Microbe;;;;;;;;eng;;;;;PubMed;
NKTTSS5R;journalArticle;2022;"Hsueh, Brian Y.; Severin, Geoffrey B.; Elg, Clinton A.; Waldron, Evan J.; Kant, Abhiruchi; Wessel, Alex J.; Dover, John A.; Rhoades, Christopher R.; Ridenhour, Benjamin J.; Parent, Kristin N.; Neiditch, Matthew B.; Ravi, Janani; Top, Eva M.; Waters, Christopher M.";Phage defence by deaminase-mediated depletion of deoxynucleotides in bacteria;Nature Microbiology;;2058-5276;10.1038/s41564-022-01162-4;https://www.nature.com/articles/s41564-022-01162-4;Vibrio cholerae biotype El Tor is perpetuating the longest cholera pandemic in recorded history. The genomic islands VSP-1 and VSP-2 distinguish El Tor from previous pandemic V. cholerae strains. Using a co-occurrence analysis of VSP genes in >200,000 bacterial genomes we built gene networks to infer biological functions encoded in these islands. This revealed that dncV, a component of the cyclic-oligonucleotide-based anti-phage signalling system (CBASS) anti-phage defence system, co-occurs with an uncharacterized gene vc0175 that we rename avcD for anti-viral cytodine deaminase. We show that AvcD is a deoxycytidylate deaminase and that its activity is post-translationally inhibited by a non-coding RNA named AvcI. AvcID and bacterial homologues protect bacterial populations against phage invasion by depleting free deoxycytidine nucleotides during infection, thereby decreasing phage replication. Homologues of avcD exist in all three domains of life, and bacterial AvcID defends against phage infection by combining traits of two eukaryotic innate viral immunity proteins, APOBEC and SAMHD1.;2022-08;05/08/2024 15:19;05/08/2024 15:19;05/08/2024 15:19;1210-1220;;8;7;;Nat Microbiol;;;;;;;;en;2022 The Author(s), under exclusive licence to Springer Nature Limited;;;;www.nature.com;
Q8572AQA;journalArticle;2022;"Tal, Nitzan; Millman, Adi; Stokar-Avihail, Avigail; Fedorenko, Taya; Leavitt, Azita; Melamed, Sarah; Yirmiya, Erez; Avraham, Carmel; Brandis, Alexander; Mehlman, Tevie; Amitai, Gil; Sorek, Rotem";Bacteria deplete deoxynucleotides to defend against bacteriophage infection;Nature Microbiology;;2058-5276;10.1038/s41564-022-01158-0;https://www.nature.com/articles/s41564-022-01158-0;DNA viruses and retroviruses consume large quantities of deoxynucleotides (dNTPs) when replicating. The human antiviral factor SAMHD1 takes advantage of this vulnerability in the viral lifecycle, and inhibits viral replication by degrading dNTPs into their constituent deoxynucleosides and inorganic phosphate. Here, we report that bacteria use a similar strategy to defend against bacteriophage infection. We identify a family of defensive bacterial deoxycytidine triphosphate (dCTP) deaminase proteins that convert dCTP into deoxyuracil nucleotides in response to phage infection. We also identify a family of phage resistance genes that encode deoxyguanosine triphosphatase (dGTPase) enzymes, which degrade dGTP into phosphate-free deoxyguanosine and are distant homologues of human SAMHD1. Our results suggest that bacterial defensive proteins deplete specific deoxynucleotides (either dCTP or dGTP) from the nucleotide pool during phage infection, thus starving the phage of an essential DNA building block and halting its replication. Our study shows that manipulation of the dNTP pool is a potent antiviral strategy shared by both prokaryotes and eukaryotes.;2022-08;05/08/2024 15:19;05/08/2024 15:19;05/08/2024 15:19;1200-1209;;8;7;;Nat Microbiol;;;;;;;;en;2022 The Author(s), under exclusive licence to Springer Nature Limited;;;;www.nature.com;
I7BDHVJZ;journalArticle;2024;"Antine, Sadie P.; Johnson, Alex G.; Mooney, Sarah E.; Leavitt, Azita; Mayer, Megan L.; Yirmiya, Erez; Amitai, Gil; Sorek, Rotem; Kranzusch, Philip J.";Structural basis of Gabija anti-phage defence and viral immune evasion;Nature;;1476-4687;10.1038/s41586-023-06855-2;https://www.nature.com/articles/s41586-023-06855-2;Bacteria encode hundreds of diverse defence systems that protect them from viral infection and inhibit phage propagation1–5. Gabija is one of the most prevalent anti-phage defence systems, occurring in more than 15% of all sequenced bacterial and archaeal genomes1,6,7, but the molecular basis of how Gabija defends cells from viral infection remains poorly understood. Here we use X-ray crystallography and cryo-electron microscopy (cryo-EM) to define how Gabija proteins assemble into a supramolecular complex of around 500 kDa that degrades phage DNA. Gabija protein A (GajA) is a DNA endonuclease that tetramerizes to form the core of the anti-phage defence complex. Two sets of Gabija protein B (GajB) dimers dock at opposite sides of the complex and create a 4:4 GajA–GajB assembly (hereafter, GajAB) that is essential for phage resistance in vivo. We show that a phage-encoded protein, Gabija anti-defence 1 (Gad1), directly binds to the Gabija GajAB complex and inactivates defence. A cryo-EM structure of the virally inhibited state shows that Gad1 forms an octameric web that encases the GajAB complex and inhibits DNA recognition and cleavage. Our results reveal the structural basis of assembly of the Gabija anti-phage defence complex and define a unique mechanism of viral immune evasion.;2024-01;05/08/2024 15:20;05/08/2024 15:20;05/08/2024 15:20;360-365;;7994;625;;;;;;;;;;en;2023 The Author(s);;;;www.nature.com;
EKVYBY4U;preprint;2024;"Tuck, Owen T.; Adler, Benjamin A.; Armbruster, Emily G.; Lahiri, Arushi; Hu, Jason J.; Zhou, Julia; Pogliano, Joe; Doudna, Jennifer A.";Hachiman is a genome integrity sensor;;;;10.1101/2024.02.29.582594;https://www.biorxiv.org/content/10.1101/2024.02.29.582594v1;Hachiman is a broad-spectrum antiphage defense system of unknown function. We show here that Hachiman comprises a heterodimeric nuclease-helicase complex, HamAB. HamA, previously a protein of unknown function, is the effector nuclease. HamB is the sensor helicase. HamB constrains HamA activity during surveillance of intact dsDNA. When the HamAB complex detects DNA damage, HamB helicase activity liberates HamA, unleashing nuclease activity. Hachiman activation degrades all DNA in the cell, creating ‘phantom’ cells devoid of both phage and host DNA. We demonstrate Hachiman activation in the absence of phage by treatment with DNA-damaging agents, suggesting that Hachiman responds to aberrant DNA states. Phylogenetic similarities between the Hachiman helicase and eukaryotic enzymes suggest this bacterial immune system has been repurposed for diverse functions across all domains of life.;29/02/2024;05/08/2024 15:20;05/08/2024 15:20;05/08/2024 15:20;;;;;;;;;;;;bioRxiv;;en;© 2024, Posted by Cold Spring Harbor Laboratory. This pre-print is available under a Creative Commons License (Attribution 4.0 International), CC BY 4.0, as described at http://creativecommons.org/licenses/by/4.0/;;;;bioRxiv;
4SM89NKT;journalArticle;2022;"Garb, Jeremy; Lopatina, Anna; Bernheim, Aude; Zaremba, Mindaugas; Siksnys, Virginijus; Melamed, Sarah; Leavitt, Azita; Millman, Adi; Amitai, Gil; Sorek, Rotem";Multiple phage resistance systems inhibit infection via SIR2-dependent NAD+ depletion;Nature Microbiology;;2058-5276;10.1038/s41564-022-01207-8;https://www.nature.com/articles/s41564-022-01207-8;Defence-associated sirtuins (DSRs) comprise a family of proteins that defend bacteria from phage infection via an unknown mechanism. These proteins are common in bacteria and harbour an N-terminal sirtuin (SIR2) domain. In this study we report that DSR proteins degrade nicotinamide adenine dinucleotide (NAD+) during infection, depleting the cell of this essential molecule and aborting phage propagation. Our data show that one of these proteins, DSR2, directly identifies phage tail tube proteins and then becomes an active NADase in Bacillus subtilis. Using a phage mating methodology that promotes genetic exchange between pairs of DSR2-sensitive and DSR2–resistant phages, we further show that some phages express anti-DSR2 proteins that bind and repress DSR2. Finally, we demonstrate that the SIR2 domain serves as an effector NADase in a diverse set of phage defence systems outside the DSR family. Our results establish the general role of SIR2 domains in bacterial immunity against phages.;2022-11;05/08/2024 15:20;05/08/2024 15:20;05/08/2024 15:20;1849-1856;;11;7;;Nat Microbiol;;;;;;;;en;2022 The Author(s), under exclusive licence to Springer Nature Limited;;;;www.nature.com;
G6EBM9WL;journalArticle;2023;"Duncan-Lowey, Brianna; Tal, Nitzan; Johnson, Alex G.; Rawson, Shaun; Mayer, Megan L.; Doron, Shany; Millman, Adi; Melamed, Sarah; Fedorenko, Taya; Kacen, Assaf; Brandis, Alexander; Mehlman, Tevie; Amitai, Gil; Sorek, Rotem; Kranzusch, Philip J.";Cryo-EM structure of the RADAR supramolecular anti-phage defense complex;Cell;;1097-4172;10.1016/j.cell.2023.01.012;;"RADAR is a two-protein bacterial defense system that was reported to defend against phage by ""editing"" messenger RNA. Here, we determine cryo-EM structures of the RADAR defense complex, revealing RdrA as a heptameric, two-layered AAA+ ATPase and RdrB as a dodecameric, hollow complex with twelve surface-exposed deaminase active sites. RdrA and RdrB join to form a giant assembly up to 10 MDa, with RdrA docked as a funnel over the RdrB active site. Surprisingly, our structures reveal an RdrB active site that targets mononucleotides. We show that RdrB catalyzes ATP-to-ITP conversion in vitro and induces the massive accumulation of inosine mononucleotides during phage infection in vivo, limiting phage replication. Our results define ATP mononucleotide deamination as a determinant of RADAR immunity and reveal supramolecular assembly of a nucleotide-modifying machine as a mechanism of anti-phage defense.";02/03/2023;05/08/2024 15:21;05/08/2024 15:21;;987-998.e15;;5;186;;Cell;;;;;;;;eng;;;;;PubMed;
74FSM3UQ;journalArticle;2023;"Gao, Yina; Luo, Xiu; Li, Peipei; Li, Zhaolong; Ye, Feng; Liu, Songqing; Gao, Pu";Molecular basis of RADAR anti-phage supramolecular assemblies;Cell;;1097-4172;10.1016/j.cell.2023.01.026;;Adenosine-to-inosine RNA editing has been proposed to be involved in a bacterial anti-phage defense system called RADAR. RADAR contains an adenosine triphosphatase (RdrA) and an adenosine deaminase (RdrB). Here, we report cryo-EM structures of RdrA, RdrB, and currently identified RdrA-RdrB complexes in the presence or absence of RNA and ATP. RdrB assembles into a dodecameric cage with catalytic pockets facing outward, while RdrA adopts both autoinhibited tetradecameric and activation-competent heptameric rings. Structural and functional data suggest a model in which RNA is loaded through the bottom section of the RdrA ring and translocated along its inner channel, a process likely coupled with ATP-binding status. Intriguingly, up to twelve RdrA rings can dock one RdrB cage with precise alignments between deaminase catalytic pockets and RNA-translocation channels, indicative of enzymatic coupling of RNA translocation and deamination. Our data uncover an interesting mechanism of enzymatic coupling and anti-phage defense through supramolecular assemblies.;02/03/2023;05/08/2024 15:21;05/08/2024 15:21;;999-1012.e20;;5;186;;Cell;;;;;;;;eng;;;;;PubMed;
CFEJGPVC;journalArticle;2023;"Rousset, Francois; Yirmiya, Erez; Nesher, Shahar; Brandis, Alexander; Mehlman, Tevie; Itkin, Maxim; Malitsky, Sergey; Millman, Adi; Melamed, Sarah; Sorek, Rotem";A conserved family of immune effectors cleaves cellular ATP upon viral infection;Cell;;1097-4172;10.1016/j.cell.2023.07.020;;During viral infection, cells can deploy immune strategies that deprive viruses of molecules essential for their replication. Here, we report a family of immune effectors in bacteria that, upon phage infection, degrade cellular adenosine triphosphate (ATP) and deoxyadenosine triphosphate (dATP) by cleaving the N-glycosidic bond between the adenine and sugar moieties. These ATP nucleosidase effectors are widely distributed within multiple bacterial defense systems, including cyclic oligonucleotide-based antiviral signaling systems (CBASS), prokaryotic argonautes, and nucleotide-binding leucine-rich repeat (NLR)-like proteins, and we show that ATP and dATP degradation during infection halts phage propagation. By analyzing homologs of the immune ATP nucleosidase domain, we discover and characterize Detocs, a family of bacterial defense systems with a two-component phosphotransfer-signaling architecture. The immune ATP nucleosidase domain is also encoded within diverse eukaryotic proteins with immune-like architectures, and we show biochemically that eukaryotic homologs preserve the ATP nucleosidase activity. Our findings suggest that ATP and dATP degradation is a cell-autonomous innate immune strategy conserved across the tree of life.;17/08/2023;05/08/2024 15:21;05/08/2024 15:21;;3619-3631.e13;;17;186;;Cell;;;;;;;;eng;;;;;PubMed;
CK2M8HDS;journalArticle;2022;"Bobonis, Jacob; Mitosch, Karin; Mateus, André; Karcher, Nicolai; Kritikos, George; Selkrig, Joel; Zietek, Matylda; Monzon, Vivian; Pfalz, Birgit; Garcia-Santamarina, Sarela; Galardini, Marco; Sueki, Anna; Kobayashi, Callie; Stein, Frank; Bateman, Alex; Zeller, Georg; Savitski, Mikhail M.; Elfenbein, Johanna R.; Andrews-Polymenis, Helene L.; Typas, Athanasios";Bacterial retrons encode phage-defending tripartite toxin-antitoxin systems;Nature;;1476-4687;10.1038/s41586-022-05091-4;;Retrons are prokaryotic genetic retroelements encoding a reverse transcriptase that produces multi-copy single-stranded DNA1 (msDNA). Despite decades of research on the biosynthesis of msDNA2, the function and physiological roles of retrons have remained unknown. Here we show that Retron-Sen2 of Salmonella enterica serovar Typhimurium encodes an accessory toxin protein, STM14_4640, which we renamed as RcaT. RcaT is neutralized by the reverse transcriptase-msDNA antitoxin complex, and becomes active upon perturbation of msDNA biosynthesis. The reverse transcriptase is required for binding to RcaT, and the msDNA is required for the antitoxin activity. The highly prevalent RcaT-containing retron family constitutes a new type of tripartite DNA-containing toxin-antitoxin system. To understand the physiological roles of such toxin-antitoxin systems, we developed toxin activation-inhibition conjugation (TAC-TIC), a high-throughput reverse genetics approach that identifies the molecular triggers and blockers of toxin-antitoxin systems. By applying TAC-TIC to Retron-Sen2, we identified multiple trigger and blocker proteins of phage origin. We demonstrate that phage-related triggers directly modify the msDNA, thereby activating RcaT and inhibiting bacterial growth. By contrast, prophage proteins circumvent retrons by directly blocking RcaT. Consistently, retron toxin-antitoxin systems act as abortive infection anti-phage defence systems, in line with recent reports3,4. Thus, RcaT retrons are tripartite DNA-regulated toxin-antitoxin systems, which use the reverse transcriptase-msDNA complex both as an antitoxin and as a sensor of phage protein activities.;2022-09;05/08/2024 15:22;05/08/2024 15:22;;144-150;;7925;609;;Nature;;;;;;;;eng;;;;;PubMed;
